10 230
20 789
30 1644
40 2851
50 4308
60 6079
70 8188
80 10555
90 13222
100 16179
110 19450
120 23031
130 26912
140 31101
150 35686
160 40377
170 45526
180 50863
190 56652
200 62587
210 68940
220 75455
230 82408
240 89565
250 97100
260 104879
270 112956
280 121381
290 129874
300 139069
310 148250
320 157959
330 167750
340 178189
350 188652
360 199503
370 210634
380 222015
390 233894
400 245811
410 258104
420 270835
430 283562
440 296843
450 310504
460 324065
470 338504
480 352531
490 367578
500 382755
510 397892
520 413531
530 429436
540 445889
550 462270
560 478729
570 496238
580 513751
590 531406
600 549333
610 567598
620 586483
630 605432
640 624497
650 643700
660 663471
670 684002
680 704029
690 724980
700 745845
710 767354
720 788965
730 811112
740 833039
750 855710
760 878325
770 901634
780 925005
790 948764
800 973233
810 997090
820 1022205
830 1046768
840 1072367
850 1097448
860 1123623
870 1149724
880 1175855
890 1202472
900 1229709
910 1257132
920 1284715
930 1312568
940 1340601
950 1369384
960 1398615
970 1427538
980 1456773
990 1486312
1000 1516295
